generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Ketorolac Tromethamine Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,76045-105-20,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-286-23,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Ketorolac Tromethamine Tablet,"Mylan Pharmaceuticals Inc., a Viatris Company",Analgesia/Addiction,Tablet,To Be Discontinued,,0378-1134-01,04/20/2026,04/20/2026,New,openfda_drug_shortages
Tazemetostat Hydrobromide Tablet,"Epizyme, Inc. (An Ipsen Company)",Oncology,Tablet,To Be Discontinued,,72607-100-00,03/27/2026,03/27/2026,New,openfda_drug_shortages
Furosemide Injection,Gland Pharma Limited,Cardiovascular,Injection,To Be Discontinued,,25021-311-10,04/28/2026,04/28/2026,New,openfda_drug_shortages
Quinapril Hydrochloride Tablet,"Lupin Pharmaceuticals, Inc.",Cardiovascular,Tablet,Current,Unavailable,68180-554-09,01/19/2023,04/29/2026,Reverified,openfda_drug_shortages
Sodium Chloride 0.9% Injection,"Hospira, Inc., a Pfizer Company",Gastroenterology; Other; Renal,Injection,To Be Discontinued,,0409-7101-66,12/03/2025,12/03/2025,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Unavailable,63323-493-97,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Sodium Bicarbonate Injection,Long Grove Pharmaceuticals LLC,Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,Current,Available,81298-7620-3,03/01/2017,01/05/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Unavailable,0409-4904-34,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Triamcinolone Acetonide Injection,"Harrow Eye, LLC",Ophthalmology,Injection,Current,Limited Availability,82667-800-01,09/27/2021,05/08/2026,Reverified,openfda_drug_shortages
Heparin Sodium Injection,Baxter Healthcare,Hematology,Injection,Current,Unavailable,0338-0433-04,11/14/2017,05/16/2026,Reverified,openfda_drug_shortages
Quinapril Hydrochloride Tablet,Aurobindo Pharma USA,Cardiovascular,Tablet,Current,Unavailable,65862-617-90,01/19/2023,04/15/2026,Reverified,openfda_drug_shortages
Tobramycin Solution,"Teva Pharmaceuticals USA, Inc.",Pulmonary/Allergy,Solution,To Be Discontinued,,0093-3750-63,06/16/2025,06/16/2025,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-161-02,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Sterile Water Irrigant,Otsuka ICU Medical LLC,Gastroenterology; Other; Pediatric,Irrigant,Current,Unavailable,0990-6139-03,04/28/2023,05/15/2026,Revised,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-486-57,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Azithromycin Tablet,Pfizer Inc.,Anti-Infective,Tablet,To Be Discontinued,,0069-4061-01,04/09/2026,04/09/2026,New,openfda_drug_shortages
Ketamine Hydrochloride Injection,Pfizer Inc.,Anesthesia,Injection,To Be Discontinued,,0409-0040-10,11/07/2025,11/07/2025,New,openfda_drug_shortages
Rifampin Capsule,"Lupin Pharmaceuticals, Inc.",Anti-Infective,Capsule,Current,Limited Availability,68180-659-06,12/22/2021,04/29/2026,Reverified,openfda_drug_shortages
Calcium Chloride Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular; Endocrinology/Metabolism,Injection,To Be Discontinued,,0409-4928-34,11/07/2025,11/07/2025,New,openfda_drug_shortages
Carboplatin Injection,"Teva Pharmaceuticals USA, Inc.",Oncology,Injection,Current,Available,0703-4239-01,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Methotrexate Sodium Injection,"Teva Pharmaceuticals USA, Inc.",Rheumatology; Oncology,Injection,Current,Available,0703-3675-01,03/13/2023,05/18/2026,Revised,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Unavailable,0409-1180-69,05/30/2025,05/08/2026,Revised,openfda_drug_shortages
Clindamycin Phosphate Injection,Baxter Healthcare,Anti-Infective,Injection,Current,Unavailable,0338-9545-50,03/21/2023,04/20/2026,Revised,openfda_drug_shortages
