outpatient_category,year,payer_type,doi_region,total_spend,member_months,pppy,source_id
Surgery,2020,All,Greeley,120129513.955456,2457749,586.5343318074677,civhc_coc_fy23_outpatient
Surgery,2020,All,Pueblo,67350585.1136565,1540397,524.6744971353995,civhc_coc_fy23_outpatient
Surgery,2020,All,West,245168111.185127,3159977,931.0249201881925,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,All,14625037.5057422,901944,194.58020682981027,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Boulder,630115.51,30652,246.68491843925355,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Colorado Springs,1826060.14739302,97311,225.1823716611302,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Denver,7727698.52670079,433815,213.7602026679794,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,East,954750.911648381,60505,189.3564323573353,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Ft. Collins,545313.33,46738,140.00941332534552,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Grand Junction,176385.16,32434,65.25935499784177,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Greeley,1077886.73,76997,167.98889255425536,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,Pueblo,237124.0,24649,115.44030183780274,civhc_coc_fy23_outpatient
Surgery,2020,CHP+,West,1284074.03,100958,152.6267196259831,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,All,856485839.65,16070215,639.5577206527728,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Boulder,43898918.19,1049938,501.73154822475226,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Colorado Springs,77621977.98,1491083,624.689394057876,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Denver,370141544.28,9069473,489.7416345315764,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,East,48097220.41,604137,955.3572201669488,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Ft. Collins,59338877.4,1029820,691.4475624866482,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Grand Junction,23849228.06,374472,764.251363840287,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Greeley,56658258.94,928400,732.3342387763895,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,Pueblo,24066825.9,351202,822.3242202493152,civhc_coc_fy23_outpatient
Surgery,2020,Commercial,West,133143932.57,1179612,1354.4514559363588,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,All,333755500.392905,14904095,268.7225225493302,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,Boulder,12831899.6018396,556614,276.64197311256135,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,Colorado Springs,49680678.7546364,2200751,270.8930474440938,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,Denver,141522827.432346,7194264,236.0594397409036,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,East,28212033.1387108,1057104,320.25647208271806,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,Ft. Collins,13802938.6899384,725489,228.3084433799283,civhc_coc_fy23_outpatient
Surgery,2020,Medicaid,Grand Junction,10123508.4864643,481216,252.44817678043037,civhc_coc_fy23_outpatient
