organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
AdventHealth Parker,Outpatient,2024,Douglas,Urban,Denver,0,0,3.3592,12857,2.4045,2.3549,2.524,0.2568,civhc_rbp_fy26
AdventHealth Porter,Inpatient,2022,Denver,Urban,Denver,0,0,2.0684,984,2.0119,1.8302,1.99,0.0076,civhc_rbp_fy26
AdventHealth Porter,Inpatient/Outpatient Combined,2023,Denver,Urban,Denver,0,0,2.2124,12980,2.1927,1.7678,2.3251,0.0101,civhc_rbp_fy26
AdventHealth Porter,Outpatient,2022,Denver,Urban,Denver,0,0,2.3398,14408,2.3542,1.8823,2.528,0.1158,civhc_rbp_fy26
AdventHealth Porter,Outpatient,2024,Denver,Urban,Denver,0,0,2.5941,11194,2.4045,1.9042,2.524,0.1524,civhc_rbp_fy26
Arapahoe Surgicenter,Outpatient,2021,Arapahoe,Urban,Denver,0,1,3.2656,1424,2.3417,2.5878,2.4991,0.0025,civhc_rbp_fy26
Arkansas Valley Regional Medical Center,Inpatient,2023,Otero,Rural,East,1,0,1.1266,32,1.2034,1.1266,1.6874,0.6701,civhc_rbp_fy26
Aspen Valley Hospital District,Inpatient/Outpatient Combined,2022,Pitkin,Rural,West,1,0,1.2017,10571,2.3988,1.2017,2.3417,0.0121,civhc_rbp_fy26
Aspen Valley Hospital District,Outpatient,2022,Pitkin,Rural,West,1,0,1.3549,10393,2.8235,1.3549,2.7132,0.0121,civhc_rbp_fy26
Audubon Ambulatory Surgery Center,Outpatient,2021,El Paso,Urban,Colorado Springs,0,1,1.308,1496,2.5464,2.5524,2.4991,0.0007,civhc_rbp_fy26
Audubon Ambulatory Surgery Center,Outpatient,2022,El Paso,Urban,Colorado Springs,0,1,1.6173,1473,2.6399,2.6428,2.528,0.0941,civhc_rbp_fy26
Audubon Ambulatory Surgery Center,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.4665,1233,2.5757,2.5887,2.524,0.2941,civhc_rbp_fy26
Banner Fort Collins Medical Center,Inpatient/Outpatient Combined,2024,Larimer,Urban,Ft. Collins,0,0,1.8713,3209,2.6442,2.6442,2.3717,0.1496,civhc_rbp_fy26
Banner McKee Medical Center,Inpatient,2024,Larimer,Urban,Ft. Collins,0,0,2.0008,75,2.0148,2.0148,1.9367,0.0011,civhc_rbp_fy26
Banner McKee Medical Center,Inpatient/Outpatient Combined,2022,Larimer,Urban,Ft. Collins,0,0,2.5672,3816,2.8913,2.8913,2.3666,0.3079,civhc_rbp_fy26
Banner McKee Medical Center,Inpatient/Outpatient Combined,2024,Larimer,Urban,Ft. Collins,0,0,2.7428,3136,2.6442,2.6442,2.3717,0.7423,civhc_rbp_fy26
Banner North Colorado Medical Center,Inpatient,2022,Weld,Urban,Greeley,0,0,1.8789,547,1.8494,1.8494,1.99,0.0013,civhc_rbp_fy26
Banner North Colorado Medical Center,Inpatient,2023,Weld,Urban,Greeley,0,0,1.9762,518,1.8989,1.8989,1.9517,0.4192,civhc_rbp_fy26
