ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
442017,20.09,22.45,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
442018,19.29,20.92,0.80,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452016,15.32,18.66,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452018,,,,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452022,12.21,23.06,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452023,8.49,21.56,1.06,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452028,15.02,24.07,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452029,19.05,18.44,1.00,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452032,15.08,23.31,1.05,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452034,15.83,21.62,1.03,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452038,25.40,20.03,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452039,11.02,20.66,1.16,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452041,17.23,22.32,1.07,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452044,15.71,22.68,1.02,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452046,10.74,22.69,1.06,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452059,11.14,23.06,1.14,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452060,18.93,19.44,0.93,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452061,17.61,19.44,0.92,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452062,15.61,18.99,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452068,17.94,22.95,0.96,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
452073,19.41,20.49,1.04,CMS Long-Term Care Hospital Compare — General Information + Provider Data,2026-02-13
