ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
10T057,68.54,8.80,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T068,70.74,8.04,0.87,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T073,66.49,9.29,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T080,66.73,8.88,1.78,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T086,67.45,9.37,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T087,64.82,8.91,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T110,71.08,9.57,1.16,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T125,75.98,8.50,1.07,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T126,67.50,10.49,1.10,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T131,71.11,8.35,1.50,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T157,67.95,10.14,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T161,71.72,8.94,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T167,81.79,9.03,1.17,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T173,67.00,9.94,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T212,66.04,9.96,1.17,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T213,68.97,9.96,1.06,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T223,72.11,8.41,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T224,72.06,9.74,1.43,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T226,73.41,8.95,1.13,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T231,67.87,9.90,1.14,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T236,65.58,10.42,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
10T242,69.95,10.28,1.39,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
